ar,sveitarfelag,hluti,name,y,is_percent
2002,Fjallabyggð,A og B-hluti,Skuldir á íbúa,636176.6325727773,FALSE
2002,Fjallabyggð,A og B-hluti,Veltufjárhlutfall,0.5650864982371532,TRUE
2002,Fjallabyggð,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.08815410663346311,TRUE
2002,Fjallabyggð,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Fjarðabyggð,A og B-hluti,Eiginfjárhlutfall,0.2949106974257152,TRUE
2002,Fjarðabyggð,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Fjarðabyggð,A og B-hluti,Framlegð sem hlutfall af tekjum,0.048281771038018374,TRUE
2002,Fjarðabyggð,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Fjarðabyggð,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.456246437701563,TRUE
2002,Fjarðabyggð,A og B-hluti,Launa- og launatengd gjöld á íbúa,222772.66322217003,FALSE
2002,Fjarðabyggð,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.4562225010785874,TRUE
2002,Fjarðabyggð,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.04017655957671829,TRUE
2002,Fjarðabyggð,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Fjarðabyggð,A og B-hluti,Skuldir sem hlutfall af tekjum,1.7167176751269395,TRUE
2002,Fjarðabyggð,A og B-hluti,Skuldir á íbúa,797125.880695162,FALSE
2002,Fjarðabyggð,A og B-hluti,Veltufjárhlutfall,0.8757052861240148,TRUE
2002,Fjarðabyggð,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.04665718824777214,TRUE
2002,Fjarðabyggð,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Fljótsdalshreppur,A og B-hluti,Eiginfjárhlutfall,0.7442203639940974,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Fljótsdalshreppur,A og B-hluti,Framlegð sem hlutfall af tekjum,0.030339994809239552,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.13171494113791626,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Launa- og launatengd gjöld á íbúa,63719.51219512195,FALSE
2002,Fljótsdalshreppur,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,-0.05362055541136777,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.01629898780171295,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Skuldir sem hlutfall af tekjum,0.4858551777835453,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Skuldir á íbúa,228292.68292682926,FALSE
2002,Fljótsdalshreppur,A og B-hluti,Veltufjárhlutfall,2.0610632183908044,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.014767713470023359,TRUE
2002,Fljótsdalshreppur,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Flóahreppur,A og B-hluti,Eiginfjárhlutfall,0.8053769066980604,TRUE
2002,Flóahreppur,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Flóahreppur,A og B-hluti,Framlegð sem hlutfall af tekjum,0.07429921679974084,TRUE
2002,Flóahreppur,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Flóahreppur,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.37080691398010956,TRUE
2002,Flóahreppur,A og B-hluti,Launa- og launatengd gjöld á íbúa,111343.13725490196,FALSE
2002,Flóahreppur,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,-0.13856229078135818,TRUE
2002,Flóahreppur,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,0.029282669868069187,TRUE
2002,Flóahreppur,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Flóahreppur,A og B-hluti,Skuldir sem hlutfall af tekjum,0.3402315935235119,TRUE
2002,Flóahreppur,A og B-hluti,Skuldir á íbúa,105025.49019607843,FALSE
2002,Flóahreppur,A og B-hluti,Veltufjárhlutfall,3.469437540274326,TRUE
2002,Flóahreppur,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.0806067420012577,TRUE
2002,Flóahreppur,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Garðabær,A og B-hluti,Eiginfjárhlutfall,0.5005460532805146,TRUE
2002,Garðabær,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Garðabær,A og B-hluti,Framlegð sem hlutfall af tekjum,0.1245248073628784,TRUE
2002,Garðabær,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Garðabær,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.5277217236077415,TRUE
2002,Garðabær,A og B-hluti,Launa- og launatengd gjöld á íbúa,154455.20415157152,FALSE
2002,Garðabær,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,0.8051040145639353,TRUE
2002,Garðabær,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,0.051360312012086046,TRUE
2002,Garðabær,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Garðabær,A og B-hluti,Skuldir sem hlutfall af tekjum,1.113847748721547,TRUE
2002,Garðabær,A og B-hluti,Skuldir á íbúa,345069.2254969157,FALSE
2002,Garðabær,A og B-hluti,Veltufjárhlutfall,0.9308083816124316,TRUE
2002,Garðabær,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.13144362480167385,TRUE
2002,Garðabær,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Grindavíkurbær,A og B-hluti,Eiginfjárhlutfall,0.4690518316136672,TRUE
2002,Grindavíkurbær,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Grindavíkurbær,A og B-hluti,Framlegð sem hlutfall af tekjum,0.010110589236777455,TRUE
2002,Grindavíkurbær,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Grindavíkurbær,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.41997884508506783,TRUE
2002,Grindavíkurbær,A og B-hluti,Launa- og launatengd gjöld á íbúa,160109.35497650577,FALSE
2002,Grindavíkurbær,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.4599944742717612,TRUE
2002,Grindavíkurbær,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.02857946470129954,TRUE
2002,Grindavíkurbær,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Grindavíkurbær,A og B-hluti,Skuldir sem hlutfall af tekjum,1.8158401720442954,TRUE
2002,Grindavíkurbær,A og B-hluti,Skuldir á íbúa,623260.5724049552,FALSE
2002,Grindavíkurbær,A og B-hluti,Veltufjárhlutfall,0.9632652357555384,TRUE
2002,Grindavíkurbær,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.0972938866030959,TRUE
2002,Grindavíkurbær,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Grundarfjarðarbær,A og B-hluti,Eiginfjárhlutfall,0.3747923898946573,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Grundarfjarðarbær,A og B-hluti,Framlegð sem hlutfall af tekjum,0.11167175843331828,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.5318001573181314,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Launa- og launatengd gjöld á íbúa,203875.6476683938,FALSE
2002,Grundarfjarðarbær,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.2457217674938554,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.005400590593886307,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Skuldir sem hlutfall af tekjum,1.3854046231709838,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Skuldir á íbúa,562501.5544041451,FALSE
2002,Grundarfjarðarbær,A og B-hluti,Veltufjárhlutfall,0.5090266320999293,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.059567289163852795,TRUE
2002,Grundarfjarðarbær,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Eiginfjárhlutfall,0.6199920204807661,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Framlegð sem hlutfall af tekjum,0.2511203286951235,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.400918815558773,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Launa- og launatengd gjöld á íbúa,188580.45977011495,FALSE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,0.23525431706527813,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,0.1765118308671393,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Skuldir sem hlutfall af tekjum,0.6724619774659488,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Skuldir á íbúa,394120.6896551724,FALSE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Veltufjárhlutfall,3.532245632065776,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.2390786338363781,TRUE
2002,Grímsnes- og Grafningshreppur,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Grýtubakkahreppur,A og B-hluti,Eiginfjárhlutfall,0.6966025361749079,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Grýtubakkahreppur,A og B-hluti,Framlegð sem hlutfall af tekjum,0.14116156935434043,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.5084560221298687,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Launa- og launatengd gjöld á íbúa,196372.15189873418,FALSE
2002,Grýtubakkahreppur,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,0.5924683348779735,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,0.06434970651838122,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Skuldir sem hlutfall af tekjum,0.72714859437751,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Skuldir á íbúa,297946.83544303797,FALSE
2002,Grýtubakkahreppur,A og B-hluti,Veltufjárhlutfall,1.09205683909221,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.16983626814952116,TRUE
2002,Grýtubakkahreppur,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Eiginfjárhlutfall,0.22933291524807253,TRUE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Framlegð sem hlutfall af tekjum,0.05488612090245502,TRUE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.48416988899857977,TRUE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Launa- og launatengd gjöld á íbúa,152838.58073430715,FALSE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.9164792785572282,TRUE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,0.09866575027173187,TRUE
2002,Hafnarfjarðarkaupstaður,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
