sveitarfelag,ar,hluti,name,obs,vidmid,diff,colour
Akraneskaupstaður,2020,A-hluti,framlegd,0.0025126121021253793,0.045381653055516794,-0.04286904095339141,FALSE
Akraneskaupstaður,2020,A-hluti,veltufe,0.11346772417202342,0.022690826527758397,0.09077689764426503,TRUE
Akraneskaupstaður,2020,A-hluti,veltufjarhlutfall,1.9172856455568463,1,0.9172856455568463,TRUE
Akraneskaupstaður,2020,A og B-hluti,nettoskuldir,0.4304921663096671,1,-0.569507833690333,FALSE
Akraneskaupstaður,2020,A og B-hluti,rekstrarnidurstada,0.06772979412205754,0,0.06772979412205754,TRUE
Akraneskaupstaður,2020,A og B-hluti,framlegd,0.00171575671335198,0.04304921663096671,-0.04133345991761473,FALSE
Akraneskaupstaður,2020,A og B-hluti,veltufe,0.09793354840395252,0.021524608315483355,0.07640894008846916,TRUE
Akraneskaupstaður,2020,A og B-hluti,veltufjarhlutfall,1.8178461907665968,1,0.8178461907665968,TRUE
Akraneskaupstaður,2021,A-hluti,nettoskuldir,0.40365288841154623,1,-0.5963471115884538,FALSE
Akraneskaupstaður,2021,A-hluti,rekstrarnidurstada,0.05991171498157963,0,0.05991171498157963,TRUE
Akraneskaupstaður,2021,A-hluti,framlegd,0.035274094907781425,0.040365288841154624,-0.005091193933373199,FALSE
Akraneskaupstaður,2021,A-hluti,veltufe,0.16979507774944164,0.020182644420577312,0.1496124333288643,TRUE
Akraneskaupstaður,2021,A-hluti,veltufjarhlutfall,1.8650288166334488,1,0.8650288166334488,TRUE
Akraneskaupstaður,2021,A og B-hluti,nettoskuldir,0.3713121348123637,1,-0.6286878651876363,FALSE
Akraneskaupstaður,2021,A og B-hluti,rekstrarnidurstada,0.053357547186852025,0,0.053357547186852025,TRUE
Akraneskaupstaður,2021,A og B-hluti,framlegd,0.04351821751863797,0.037131213481236366,0.006387004037401604,TRUE
Akraneskaupstaður,2021,A og B-hluti,veltufe,0.16117496515527252,0.018565606740618183,0.14260935841465433,TRUE
Akraneskaupstaður,2021,A og B-hluti,veltufjarhlutfall,1.7935104126721328,1,0.7935104126721328,TRUE
Akraneskaupstaður,2022,A-hluti,nettoskuldir,0.5319655195494376,1,-0.4680344804505624,FALSE
Akraneskaupstaður,2022,A-hluti,rekstrarnidurstada,0.02611137704217409,0,0.02611137704217409,TRUE
Akraneskaupstaður,2022,A-hluti,framlegd,-0.014644812180218354,0.05319655195494376,-0.06784136413516212,FALSE
Akraneskaupstaður,2022,A-hluti,veltufe,0.0936114924826994,0.02659827597747188,0.06701321650522751,TRUE
Akraneskaupstaður,2022,A-hluti,veltufjarhlutfall,0.996434669742524,1,-0.0035653302574759627,FALSE
Akraneskaupstaður,2022,A og B-hluti,nettoskuldir,0.4962910860828751,1,-0.5037089139171249,FALSE
Akraneskaupstaður,2022,A og B-hluti,rekstrarnidurstada,0.022058416884128063,0,0.022058416884128063,TRUE
Akraneskaupstaður,2022,A og B-hluti,framlegd,-0.00940461074497439,0.04962910860828751,-0.0590337193532619,FALSE
Akraneskaupstaður,2022,A og B-hluti,veltufe,0.08162751462931958,0.024814554304143754,0.056812960325175826,TRUE
Akraneskaupstaður,2022,A og B-hluti,veltufjarhlutfall,0.9772890211472788,1,-0.02271097885272122,FALSE
Akraneskaupstaður,2023,A-hluti,nettoskuldir,0.681779774898538,1,-0.318220225101462,FALSE
Akraneskaupstaður,2023,A-hluti,rekstrarnidurstada,0.03384744849942601,0,0.03384744849942601,TRUE
Akraneskaupstaður,2023,A-hluti,framlegd,0.01875310573117371,0.0681779774898538,-0.049424871758680086,FALSE
Akraneskaupstaður,2023,A-hluti,veltufe,0.12028349404182997,0.0340889887449269,0.08619450529690308,TRUE
Akraneskaupstaður,2023,A-hluti,veltufjarhlutfall,0.5996137552408635,1,-0.40038624475913653,FALSE
Akraneskaupstaður,2023,A og B-hluti,nettoskuldir,0.6565240539464281,1,-0.3434759460535719,FALSE
Akraneskaupstaður,2023,A og B-hluti,rekstrarnidurstada,0.025511974526570166,0,0.025511974526570166,TRUE
Akraneskaupstaður,2023,A og B-hluti,framlegd,0.016562844747647392,0.06565240539464282,-0.04908956064699542,FALSE
Akraneskaupstaður,2023,A og B-hluti,veltufe,0.10063205996813075,0.03282620269732141,0.06780585727080934,TRUE
Akraneskaupstaður,2023,A og B-hluti,veltufjarhlutfall,0.5691646077101348,1,-0.4308353922898652,FALSE
Akureyrarbær,2010,A-hluti,nettoskuldir,1.0558219978037457,1,0.05582199780374575,TRUE
Akureyrarbær,2010,A-hluti,rekstrarnidurstada,-0.04971070794101261,0,-0.04971070794101261,FALSE
Akureyrarbær,2010,A-hluti,framlegd,0.08547554631151906,0.10558219978037457,-0.020106653468855512,FALSE
